42.578,-39.785,38.333,69.75
44.225,-30.577,39.06,66.457
43.025,-25.12,38.383,62.892
42.832,-31.365,35.22,63.709
42.96,-24.395,35.323,60.732
45.745,-22.422,32.73,60.553
42.832,-30.445,28.06,59.573
39.795,-26.762,32.005,57.656
34.672,-28.54,33.093,55.784
32.645,-28.537,30.395,52.952
26.51,-33.602,32.733,53.883
24.735,-30.842,38.332,55.068
24.862,-28.735,45.49,59.272
29.67,-21.105,49.85,61.731
37.578,-11.573,49.692,63.367
32.267,-32.087,50.525,67.997
32.392,-33.273,44.3,64.178
29.352,-35.25,44.09,63.624
29.357,-35.775,43.26,63.349
26.445,-39.458,42.532,63.759
17.523,-37.023,42.272,58.861
16.065,-33.535,40.563,55.027
17.587,-26.96,42.118,53.01
20.118,-33.142,40.46,56.037
23.153,-39.985,38.487,60.134
26.32,-39.06,38.28,60.694
29.797,-35.84,39.16,60.876
22.015,-33.933,41.805,58.17
33.087,-35.047,36.877,60.688
30.557,-42.02,37.605,64.137
30.495,-40.773,40.458,65.032
32.708,-42.547,37.815,65.651
32.648,-35.775,39.525,62.513
33.15,-34.59,37.447,60.809
37.775,-32.288,34.285,60.373
31.508,-36.43,34.96,59.515
33.407,-36.43,32.888,59.37
35.238,-30.053,33.457,57.134
34.862,-29.13,33.563,56.484
33.66,-31.433,36.205,58.582
32.582,-33.602,38.227,60.433
42.455,-32.815,33.558,63.288
27.775,-31.63,45.493,61.98
16.45,-34.855,48.238,61.744
14.61,-31.63,49.433,60.477
10.055,-28.473,50.575,58.903
4.7425,-31.105,48.293,57.638
1.5125,-30.905,48.135,57.222
2.84,-31.895,46.215,56.224
5.12,-28.997,47.357,55.766
4.425,-29.593,48.965,57.384
3.0325,-31.3,50.108,59.158
1.6425,-28.8,54.155,61.359
3.98,-35.84,55.035,65.797
8.855,-39.063,52.91,66.361
12.08,-39.655,51.61,66.197
21.128,-37.88,46.268,63.419
24.922,-33.537,47.098,62.961
24.168,-37.352,48.448,65.776
23.785,-34.458,48.342,63.953
20.875,-33.668,51.04,64.609
20.558,-34.917,54.103,67.594
19.043,-41.233,54.31,70.798
18.47,-45.772,54.365,73.429
20.245,-46.69,53.012,73.486
19.548,-44.39,54.623,73.049
19.8,-48.465,51.715,73.589
23.28,-49.715,50.21,74.395
27.775,-47.938,49.122,74.044
31.445,-45.705,45.18,71.547
33.215,-44.125,48.398,73.434
29.293,-43.6,52.96,74.591
24.61,-50.045,54,77.628
