posx,posy,ay,ax,az,my,mx,mz
66,1,-0.0475,-0.1525,-1.0250000000000001,10.530000000000001,-67.6075,63.5475
66,1,-0.095,-0.0325,-1.06,22.72,-67.915,54.415
66,2,0.12250000000000001,0.08750000000000001,-1.1075,24.189999999999998,-52.4275,65.0975
66,2,0.015,-0.060000000000000005,-1.04,23.945,-58.695,64.565
66,2,-0.10750000000000001,-0.0625,-1.0375,21.002499999999998,-70.3725,57.5125
66,3,0.05500000000000001,0.0325,-1.095,21.985,-55.13,64.88499999999999
66,3,-0.0225,-0.1375,-1.0375,9.4275,-65.39750000000001,66.645
66,3,-0.0125,-0.027500000000000007,-1.055,20.27,-65.3325,61.7875
65,-1,0.1875,-0.31500000000000006,-0.91,21.189999999999998,-60.722500000000004,43.5775
65,-1,-0.010000000000000002,-0.14250000000000002,-1.105,18.1875,-62.2625,51.96
65,-1,-0.034999999999999996,0.027500000000000004,-1.1025,24.065,-67.1775,46.832499999999996
65,0,0.105,-0.0675,-1.0125,19.7775,-56.972500000000004,57.727500000000006
65,0,0.0975,-0.1375,-1.0650000000000002,15.982499999999998,-57.587500000000006,55.805
65,0,-0.0675,0.0,-1.07,23.515,-69.945,42.4
65,1,0.0925,-0.055,-1.0425,16.4125,-55.685,61.735
65,1,-0.0125,-0.10250000000000001,-1.045,15.615,-62.9975,60.50750000000001
65,1,-0.055,-0.02,-1.0375,20.759999999999998,-69.76,52.599999999999994
65,2,0.027499999999999997,-0.195,-1.04,18.0025,-59.37,55.5375
65,2,0.29000000000000004,0.012500000000000004,-0.9475000000000001,-45.015,-45.5425,58.9025
65,2,-0.10250000000000001,-0.05500000000000001,-0.975,22.474999999999998,-69.8825,48.970000000000006
65,3,0.14,0.0675,-1.0575,24.435000000000002,-50.4575,71.1875
65,3,-0.017499999999999998,-0.10750000000000001,-0.97,15.370000000000001,-62.50749999999999,62.105000000000004
65,3,-0.060000000000000005,0.0675,-1.135,24.3725,-65.52,57.14
64,-1,0.06,-0.04,-1.1099999999999999,15.98,-59.925000000000004,54.95
64,-1,-0.05,-0.025,-1.03,23.7,-58.695,53.027499999999996
