magz,magy,magx,accz,accy,accx,posx,posy
36.715999999999994,32.522,-36.032,-0.97,0.006,0.084,1,1
39.733999999999995,25.726,-38.492,-1.024,0.019999999999999997,-0.041999999999999996,1,2
36.46,25.232,-40.664,-1.026,-0.019999999999999997,-0.08600000000000001,1,3
32.914,29.354000000000003,-38.422000000000004,-1.046,-0.126,-0.118,1,4
38.916000000000004,24.85,-26.348000000000003,-1.004,0.264,0.008000000000000002,1,5
32.8,23.940000000000005,-39.858,-1.086,0.004000000000000001,-0.001999999999999999,1,6
33.37,34.391999999999996,-39.734,-1.028,0.06000000000000001,0.10200000000000001,1,7
35.251999999999995,30.913999999999998,-36.39200000000001,-1.036,0.028000000000000004,0.038,1,8
31.234,23.766,-31.935999999999996,-1.0059999999999998,-0.030000000000000006,0.028000000000000004,1,9
22.285999999999998,20.05,-35.544,-1.0719999999999998,-0.057999999999999996,0.054000000000000006,1,10
18.002000000000002,12.708000000000002,-42.848,-0.9879999999999999,-0.07400000000000001,0.134,1,11
19.334,5.668000000000001,-44.528000000000006,-1.0100000000000002,-0.11599999999999999,0.10400000000000001,1,12
27.190000000000005,20.682,-42.55200000000001,-0.9480000000000001,-0.042,0.098,1,13
33.536,24.454,-33.513999999999996,-0.998,-0.032,0.082,1,14
39.57,27.588,-20.978,-0.998,0.03,-0.024,1,15
31.892000000000003,35.522000000000006,-16.44,-1.182,-0.124,0.092,1,16
29.72,33.55200000000001,-21.444,-1.028,-0.154,0.044,1,17
26.436,38.608,-19.948,-1.022,-0.22000000000000003,0.08399999999999999,1,18
23.483999999999998,43.032,-16.43,-0.968,-0.148,0.13799999999999998,1,19
20.334,41.61,-11.088,-1.0,-0.08,0.08600000000000001,1,20
5.774,43.434000000000005,-10.588,-1.0219999999999998,-0.22400000000000003,0.164,1,21
1.262,37.394000000000005,-0.4039999999999999,-0.966,-0.11600000000000002,0.144,1,22
0.5860000000000001,24.29,5.4479999999999995,-1.028,-0.236,0.21000000000000002,1,23
13.722,5.442,1.31,-0.884,-0.09399999999999999,0.12600000000000003,1,24
34.309999999999995,6.712000000000001,-8.398,-0.992,-0.24400000000000005,0.14400000000000002,1,25
47.16199999999999,4.63,-23.663999999999998,-1.054,-0.23399999999999999,0.028000000000000004,1,26
44.763999999999996,34.446000000000005,-34.712,-0.9199999999999999,-0.202,0.2,1,27
45.928,42.41799999999999,-26.113999999999997,-0.97,-0.12400000000000003,0.11600000000000002,1,28
34.866,47.748000000000005,-26.794,-0.9979999999999999,-0.18,0.134,1,29
31.310000000000002,43.198,-21.844,-0.9620000000000001,-0.11600000000000002,0.10800000000000001,1,30
26.504,46.262,-24.058,-0.906,-0.08199999999999999,0.2,1,31
29.814,44.785999999999994,-26.270000000000003,-1.032,-0.084,0.15599999999999997,1,32
29.07,46.68,-32.568,-1.05,-0.06799999999999999,0.188,1,33
29.663999999999998,44.718,-28.668,-1.032,-0.062,0.062,1,34
26.176,42.556,-21.82,-1.136,0.188,0.194,1,35
14.192000000000002,37.15,-21.316,-1.1039999999999999,-0.11599999999999999,0.10400000000000001,1,36
8.367999999999999,31.889999999999997,-21.368000000000002,-0.942,-0.092,0.11599999999999999,1,37
9.898,27.466,-11.196000000000002,-1.0660000000000003,0.01,0.134,1,38
7.816,26.434000000000005,-10.038,-0.99,-0.036,0.16599999999999998,1,39
8.07,26.236,-7.220000000000001,-0.866,0.13799999999999998,0.182,1,40
6.2,20.536,-16.886000000000003,-0.9940000000000001,-0.11000000000000001,0.22399999999999998,1,41
9.388,24.712000000000003,-22.174,-0.994,-0.096,0.17800000000000002,1,42
9.006,23.78,-24.538,-0.958,-0.178,0.26399999999999996,1,43
7.008,32.182,-25.895999999999997,-0.97,-0.14600000000000002,0.27,1,44
7.2620000000000005,36.808,-21.268,-1.1,-0.08800000000000001,0.15,1,45
12.45,33.658,-12.704000000000002,-0.974,0.016,0.12800000000000003,1,46
12.617999999999999,31.006,-9.282,-0.9640000000000001,0.028000000000000008,0.122,1,47
12.916000000000002,27.022,-13.766000000000002,-1.052,0.031999999999999994,0.11600000000000002,1,48
14.234,24.912,-18.648,-1.022,-0.014000000000000002,0.10400000000000001,1,49
12.662,26.432,-24.537999999999997,-1.008,-0.06999999999999999,0.05,1,50
11.896,27.318,-27.356,-1.032,0.022,0.072,1,51
12.447999999999999,35.918,-20.157999999999998,-1.0080000000000002,0.019999999999999997,0.094,1,52
9.6,33.312,-24.937999999999995,-0.8140000000000001,-0.2,0.10400000000000001,1,53
16.018,34.346,-22.372,-1.0080000000000002,0.064,0.10400000000000001,1,54
17.208000000000002,33.660000000000004,-20.964000000000002,-0.944,0.084,0.11000000000000001,1,55
